SPS1_1,SPS2_2,SPS2_3,SPS2_4,SPS2_5,SADBNK1,SADBNK2,SADBNK3,SADBNK4,SADBNK5,SADBNK6,SADBNK7,SADBNK8,SADBNK9,SADBNK10,SADBNK11,SADBNK12,SADBNK13,SADBNK14,SADBNK15,SADBNK16,SADBNK17,SADBNK18,SADBNK19,SADBNK20,SADBNK21,SADBNK22,SADBNK23,SADBNK24,SADBNK25,SADBNK26,SOPHStot,SOCtot
0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,9
2,1,0,0,0,2,1,2,2,2,2,1,2,2,1,0,2,1,2,2,2,3,2,1,1,1,3,2,1,2,1,3,43
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,10
2,3,3,3,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,1,0,1,1,0,1,1,2,2,1,1,2,1,2,1,1,2,1,1,0,1,2,1,1,2,3,2,3,4,36
2,1,1,2,1,2,1,1,2,2,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,3,2,2,7,47
4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,3,2,4,3,2,4,3,3,2,3,4,4,2,4,4,3,19,88
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2,1,2,2,1,2,2,3,3,2,2,3,3,2,3,1,1,2,2,2,3,2,2,2,3,2,3,2,3,2,2,8,59
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,3,3,2,4,4,3,4,3,3,4,2,3,4,4,4,3,2,4,4,4,4,4,0,3,4,4,4,4,4,15,90
