SPS1_1,SPS2_2,SPS2_3,SPS2_4,SPS2_5,SADBNK1,SADBNK2,SADBNK3,SADBNK4,SADBNK5,SADBNK6,SADBNK7,SADBNK8,SADBNK9,SADBNK10,SADBNK11,SADBNK12,SADBNK13,SADBNK14,SADBNK15,SADBNK16,SADBNK17,SADBNK18,SADBNK19,SADBNK20,SADBNK21,SADBNK22,SADBNK23,SADBNK24,SADBNK25,SADBNK26,SOPHStot,SOCtot
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,1,0,0,1,3,0,0,0,0,0,3,1,0,3,2,2,0,0,0,1,0,2,2,2,0,0,5,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,0,3,1,2,1,2,2,3,1,3,3,3,3,2,3,3,3,4,3,3,3,2,4,3,3,1,3,7,67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,20,99
1,0,1,1,1,2,0,1,1,1,0,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,3,2,4,0,1,4,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,0,0,2,2,2,3,1,1,5,41
2,3,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,6,53
3,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1,3,2,2,2,2,3,1,2,2,3,2,1,2,10,49
1,1,0,1,0,2,1,1,2,1,0,3,1,2,1,0,1,1,2,1,0,1,0,1,1,2,3,0,1,2,1,3,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,5
1,1,0,1,0,2,2,3,2,2,0,1,2,1,2,0,2,0,3,2,2,3,1,1,1,1,3,2,3,2,2,3,45
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,9
2,3,2,1,2,3,3,3,2,3,2,3,3,3,4,2,3,0,4,4,4,2,3,2,4,1,4,3,3,1,3,10,72
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,8
1,1,0,1,0,2,0,1,0,0,0,2,0,0,2,0,1,0,2,1,0,0,1,0,1,0,3,1,3,0,0,3,20
1,1,1,1,1,2,0,1,1,1,1,0,2,0,0,0,0,0,1,2,0,0,0,2,0,0,2,3,0,0,0,5,18
0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,2,1,0,2,1,0,1,0,2,1,0,2,2,0,0,0,0,20
1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,10,76
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,0,1,0,10
3,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,3,1,2,2,3,3,3,2,2,1,9,52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,16,103
